book_id,book_title,author,format,publication_year,publication_date,num_pages_final,num_ratings,num_reviews,average_rating,ratings_1_star,ratings_2_star,ratings_3_star,ratings_4_star,ratings_5_star,ratings_total_from_dist,main_genre,genres_list_clean,num_pages_fill_source,genres_mapped_clean
32762917,Nightfall,Shannon Messenger,"['576 pages, ebook']",2017.0,2017-11-07,576.0,36084,2005,4.55,221,477,2673,8623,24090,36084,fantasy,"fantasy,middle grade,young adult,adventure,romance,magic",existing_or_parsed,"fantasy, children & pre-teens, adult fiction, adventure, romance, paranormal & supernatural"
32768522,Carry On,Rainbow Rowell,"['522 pages, Paperback']",2015.0,2015-10-06,522.0,313378,36901,4.18,7045,12928,45470,100282,147653,313378,fantasy,"fantasy,young adult,romance,lgbt,queer,magic",existing_or_parsed,"fantasy, adult fiction, romance, lgbtq+, paranormal & supernatural"
32819894,Restart,Gordon Korman,"['256 pages, Hardcover']",2017.0,2017-05-30,256.0,40298,4423,4.19,518,1268,5796,15235,17481,40298,middle grade,"middle grade,realistic fiction,young adult,childrens,contemporary,school",existing_or_parsed,"children & pre-teens, contemporary & slice of life, adult fiction, school life"
32822135,Archer's Voice,Mia Sheridan,"['377 pages, ebook']",2014.0,2014-01-25,377.0,464558,52313,4.22,7315,20087,66182,138190,232784,464558,romance,"romance,contemporary,new adult,contemporary romance,adult,disability",existing_or_parsed,"romance, contemporary & slice of life, adult fiction, psychology & mental health"
32825168,Wind from the Abyss,Janet E. Morris,"['309 pages, Kindle Edition']",1983.0,1983-03-15,309.0,121,10,4.01,6,9,21,27,58,121,fantasy,"fantasy,science fiction,dystopia",existing_or_parsed,"fantasy, science fiction, dystopian"
32828538,Lost Boy: The True Story of Captain Hook,Christina Henry,"['292 pages, Paperback']",2017.0,2017-07-04,292.0,28511,4586,4.22,201,817,4106,10886,12501,28511,fantasy,"fantasy,horror,retellings,young adult,fairy tales,pirates",existing_or_parsed,"fantasy, horror, other / niche, adult fiction, paranormal & supernatural"
32853031,Dark Guardian,Ammar Habib,"['334 pages, Paperback']",2014.0,2014-07-24,334.0,5325,541,4.21,32,131,742,2188,2232,5325,thriller,"thriller,action,superheroes,crime,mystery",existing_or_parsed,"mystery & crime, action, paranormal & supernatural"
32864276,Midnight Exposure,Melinda Leigh,"['315 pages, Kindle Edition']",2012.0,2012-08-21,315.0,24259,752,4.12,480,1057,3922,8420,10380,24259,romantic suspense,"romantic suspense,mystery,romance,thriller,suspense,mystery thriller",existing_or_parsed,"romance, mystery & crime"
32871394,The Pisces,Melissa Broder,"['270 pages, Hardcover']",2018.0,2018-05-01,270.0,30287,6093,3.3,2607,4628,8901,9400,4751,30287,fantasy,"fantasy,romance,contemporary,magical realism,literary fiction,adult",existing_or_parsed,"fantasy, romance, contemporary & slice of life, paranormal & supernatural, literature & classics, adult fiction"
32885178,A Merciful Truth,Kendra Elliot,"['322 pages, Kindle Edition']",2017.0,2017-06-06,322.0,28488,930,4.27,287,576,3454,10931,13240,28488,mystery,"mystery,romantic suspense,thriller,suspense,crime,romance",existing_or_parsed,"mystery & crime, romance"
32940857,Worlds Collide,Chris Colfer,"['448 pages, Hardcover']",2017.0,2017-07-11,448.0,34518,2154,4.5,186,595,3098,8637,22002,34518,fantasy,"fantasy,middle grade,young adult,adventure,magic,fairy tales",existing_or_parsed,"fantasy, children & pre-teens, adult fiction, adventure, paranormal & supernatural"
32978021,Operation Hail Storm,Brett Arquette,"['352 pages, Paperback']",2016.0,2016-11-15,352.0,7561,2207,3.99,526,497,1058,1963,3517,7561,thriller,"thriller,science fiction,adventure,action,mystery,suspense",existing_or_parsed,"mystery & crime, science fiction, adventure, action"
32978448,The Last Valentine,Felix Alexander,"['241 pages, Kindle Edition']",2017.0,2017-02-13,241.0,408,58,4.07,1,6,96,164,141,408,romance,"romance,mystery,love story,historical fiction,young adult,new adult",existing_or_parsed,"romance, mystery & crime, historical fiction, adult fiction"
32999129,I Miss The World,Violet LeVoit,"['154 pages, Paperback']",2016.0,2016-11-16,154.0,400,62,3.75,22,46,73,128,131,400,horror,"horror,crime,thriller,adult,literary fiction,bizarro fiction",existing_or_parsed,"horror, mystery & crime, adult fiction, literature & classics, other / niche"
33080122,The Calculating Stars,Mary Robinette Kowal,"['431 pages, Paperback']",2018.0,2018-07-03,431.0,33732,5018,3.96,775,1989,6555,12874,11539,33732,science fiction,"science fiction,historical fiction,alternate history,historical,space,adult",existing_or_parsed,"science fiction, historical fiction, historical, adult fiction"
33118312,Refugee,Alan Gratz,"['352 pages, Kindle Edition']",2017.0,2017-07-25,352.0,68271,9114,4.39,577,1396,6655,21922,37721,68271,historical fiction,"historical fiction,young adult,middle grade,historical,realistic fiction,war",existing_or_parsed,"historical fiction, adult fiction, children & pre-teens, historical, contemporary & slice of life, world literature"
33125772,Ramonst,A.F. Knott,"['271 pages, Kindle Edition']",2016.0,,271.0,261,21,4.45,1,4,5,117,134,261,drama,"drama,contemporary,book club",existing_or_parsed,"drama, contemporary & slice of life, other / niche"
33131867,The Risk,S.T. Abby,"['132 pages, ebook']",2016.0,2016-12-01,132.0,201252,21305,4.26,1228,4426,28105,74136,93357,201252,romance,"romance,dark,thriller,contemporary,mystery,crime,adult",existing_or_parsed,"romance, dark & erotic, mystery & crime, contemporary & slice of life, adult fiction"
33149088,Say You're Sorry,Melinda Leigh,"['330 pages, Paperback']",2017.0,2017-05-16,330.0,96977,3603,4.07,2907,4274,15620,34386,39790,96977,mystery,"mystery,thriller,suspense,romance,romantic suspense,mystery thriller",existing_or_parsed,"mystery & crime, romance"
33163378,Moxie,Jennifer Mathieu,"['330 pages, Hardcover']",2017.0,2017-09-19,330.0,33050,6365,4.2,246,866,4915,13025,13998,33050,young adult,"young adult,contemporary,feminism,realistic fiction,romance,young adult contemporary",existing_or_parsed,"adult fiction, contemporary & slice of life, philosophy & education & personal development, romance"
33198183,Darkness of Dragons,Tui T. Sutherland,"['336 pages, Hardcover']",2017.0,2017-07-25,336.0,18919,871,4.57,133,236,1409,4160,12981,18919,fantasy,"fantasy,dragons,middle grade,young adult,childrens,adventure",existing_or_parsed,"fantasy, paranormal & supernatural, children & pre-teens, adult fiction, adventure"
33271162,Sidetracked,S.T. Abby,"['115 pages, Kindle Edition']",2016.0,2016-12-05,115.0,175964,14471,4.36,440,2396,19868,63257,90003,175964,romance,"romance,dark,thriller,contemporary,mystery,crime,adult",existing_or_parsed,"romance, dark & erotic, mystery & crime, contemporary & slice of life, adult fiction"
